주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1010089,초안산근린공원주차장(구),도봉구 창동 24-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,71,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2022-01-12 15:16,N,무료,N,무료,0,,0,,300,10,0,0,0,0,0,,
1012254,마들스타디움(근린공원)(구),노원구 상계동 770-2,NW,노외 주차장,1,시간제 주차장,02-2289-6735,0,미연계중,177,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:36,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,11000,,
1013181,마장동(건물) 공영주차장(구),성동구 마장동 463-2,NW,노외 주차장,1,시간제 주차장,02-2204-7970,2,20~120분이내 연계데이터 존재(정보수집중),54,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-28 13:25,N,무료,N,무료,50000,,50,5,50,5,0,0,0,0,,,
1025695,영등포여고 공영(구),영등포구 신길동 184-3,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),98,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-30 15:53,N,무료,N,무료,65000,,50,5,50,5,0,0,0,0,0,,
1025696,당산근린공원 공영(구),영등포구 당산동3가 385-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),190,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-30 15:22,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,0,,
1025697,대림운동장(구),영등포구 대림동 780-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-30 15:39,N,무료,N,무료,65000,,50,5,50,5,0,0,0,0,,,
1027845,휘경마을 공영주차장(구),동대문구 휘경동 308-32,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2247-9664,0,미연계중,78,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:36,N,무료,N,무료,,,500,10,500,10,0,0,0,0,10000,37.5880691,127.0580933
1028036,중산공영주차장(구),동대문구 답십리동 23-3,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2247-9664~6,0,미연계중,58,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2019-06-10 9:33,N,무료,N,무료,,,1000,60,0,0,0,0,0,0,10000,,
1028245,방학동 도깨비시장 공영주차장(구),도봉구 방학동 632-1,NW,노외 주차장,3,시간제 + 거주자 주차장,02-901-5100,0,미연계중,81,Y,유료,N,야간 미개방,900,2200,900,2200,900,2200,2022-09-19 13:46,N,무료,N,무료,0,,100,5,100,5,0,0,0,0,0,,
1032247,은평평화공원(구),은평구 녹번동 153-1,NW,노외 주차장,1,시간제 주차장,02-350-5183,0,미연계중,143,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-11-27 14:31,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,0,,
1033125,압구정 428 공영주차장(구),강남구 압구정동 428-0,NW,노외 주차장,1,시간제 주차장,02-2176-0971,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),344,Y,유료,N,야간 미개방,900,2100,900,2100,900,2100,2020-07-07 18:25,N,무료,N,무료,200000,,400,5,400,5,0,0,0,0,,,
1033590,신림동공영주차장(구),관악구 신림동 1456-3,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,0,미연계중,191,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:36,N,무료,N,무료,0,,250,5,250,5,0,0,0,0,0,,
1033754,포이초교 공영주차장(구),강남구 개포동 1273-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),189,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 18:09,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1034344,수유2동 공영주차장(구),강북구 수유동 660-30,NW,노외 주차장,1,시간제 주차장,02-900-7443,0,미연계중,62,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:33,N,무료,N,무료,60000,,150,5,150,5,0,0,0,0,10000,,
1034345,송중동(임시)공영주차장(구),강북구 미아동 860-123,NW,노외 주차장,1,시간제 주차장,02-988-1283,0,미연계중,6,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:33,N,무료,N,무료,100000,,200,5,200,5,0,0,0,0,10000,,
